"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"15-Jan-2016","-","-","-","     8704.89","        2554590","          151.30"
"18-Jan-2016","-","-","-","     8581.49","        3173251","          160.22"
"19-Jan-2016","-","-","-","     8533.32","        3412515","          198.37"
"20-Jan-2016","-","-","-","     8485.04","        5217884","          292.82"
"21-Jan-2016","-","-","-","     8406.86","        8527999","          312.77"
"22-Jan-2016","-","-","-","     8662.44","        3943884","          182.13"
"25-Jan-2016","-","-","-","     8615.78","        3191023","          169.70"
"27-Jan-2016","-","-","-","     8529.41","        5365886","          278.78"
"28-Jan-2016","-","-","-","     8615.56","        5870506","          252.65"
"29-Jan-2016","-","-","-","     8780.42","        4222288","          238.81"
"01-Feb-2016","-","-","-","     8733.66","        4481198","          226.89"
"02-Feb-2016","-","-","-","     8532.34","        7090286","          357.80"
"03-Feb-2016","-","-","-","     8440.66","        3396296","          176.05"
"04-Feb-2016","-","-","-","     8430.93","        2977958","          145.27"
"05-Feb-2016","-","-","-","     8509.91","        3512660","          168.10"
"08-Feb-2016","-","-","-","     8446.52","        1954088","          109.61"
"09-Feb-2016","-","-","-","     8225.38","        3526871","          168.36"
"10-Feb-2016","-","-","-","     8150.47","        3887321","          203.72"
"11-Feb-2016","-","-","-","     7825.77","        3832461","          182.67"
"12-Feb-2016","-","-","-","     7965.91","        5994881","          381.31"
"15-Feb-2016","-","-","-","     8258.65","        3625149","          192.40"
"16-Feb-2016","-","-","-","     8112.47","        2467070","          133.30"
"17-Feb-2016","-","-","-","     8147.46","        2492668","          130.93"
"18-Feb-2016","-","-","-","     8223.12","        3327212","          168.52"
"19-Feb-2016","-","-","-","     8349.29","        3316103","          177.01"
"22-Feb-2016","-","-","-","     8331.07","        2350901","          131.74"
"23-Feb-2016","-","-","-","     8162.01","        3581081","          182.34"
"24-Feb-2016","-","-","-","     8120.54","        3244072","          162.67"
"25-Feb-2016","-","-","-","     8118.58","        7329551","          330.69"
"26-Feb-2016","-","-","-","     8116.33","        3597359","          205.52"
"29-Feb-2016","-","-","-","     8103.90","        5144041","          314.07"
"01-Mar-2016","-","-","-","     8394.94","        4993436","          303.64"
"02-Mar-2016","-","-","-","     8340.69","        6779356","          453.01"
"03-Mar-2016","-","-","-","     8458.84","        4318161","          258.05"
"04-Mar-2016","-","-","-","     8435.72","        4468478","          234.79"
"08-Mar-2016","-","-","-","     8391.56","        3865053","          206.56"
"09-Mar-2016","-","-","-","     8545.71","        5812079","          315.22"
"10-Mar-2016","-","-","-","     8501.42","        4489748","          247.36"
"11-Mar-2016","-","-","-","     8435.57","        3347445","          168.19"
"14-Mar-2016","-","-","-","     8477.57","        6707576","          348.06"
"15-Mar-2016","-","-","-","     8366.49","        3037425","          154.76"
"16-Mar-2016","-","-","-","     8443.71","        3109146","          145.33"
"17-Mar-2016","-","-","-","     8517.99","        4050486","          220.15"
"18-Mar-2016","-","-","-","     8692.64","        6652824","          312.15"
"21-Mar-2016","-","-","-","     8709.81","        3619519","          175.13"
"22-Mar-2016","-","-","-","     8764.14","        4077592","          245.81"
"23-Mar-2016","-","-","-","     8728.98","        2901244","          184.31"
"28-Mar-2016","-","-","-","     8663.54","        5610506","          335.93"
"29-Mar-2016","-","-","-","     8560.93","        3631350","          230.85"
"30-Mar-2016","-","-","-","     8574.75","        5911624","          397.06"
"31-Mar-2016","-","-","-","     8582.15","       12135986","          646.22"
"01-Apr-2016","-","-","-","     8453.62","        5895080","          432.92"
"04-Apr-2016","-","-","-","     8687.84","        3860865","          274.17"
"05-Apr-2016","-","-","-","     8513.71","        3562051","          166.58"
"06-Apr-2016","-","-","-","     8463.76","        6368658","          269.78"
"07-Apr-2016","-","-","-","     8413.28","        6672627","          240.73"
"08-Apr-2016","-","-","-","     8567.38","        5417802","          219.58"
"11-Apr-2016","-","-","-","     8684.78","        3173256","          150.15"
"12-Apr-2016","-","-","-","     8727.50","        5916075","          297.01"
"13-Apr-2016","-","-","-","     9152.37","        6357049","          520.83"
"18-Apr-2016","-","-","-","     9238.88","        5448858","          371.92"
"20-Apr-2016","-","-","-","     9192.50","        7040280","          409.27"
"21-Apr-2016","-","-","-","     9075.92","        3542048","          210.16"
"22-Apr-2016","-","-","-","     9179.03","        5233230","          260.22"
"25-Apr-2016","-","-","-","     9208.22","       15015770","          511.06"
"26-Apr-2016","-","-","-","     9342.40","        7349433","          374.21"
"27-Apr-2016","-","-","-","     9482.57","        6474515","          313.85"
"28-Apr-2016","-","-","-","     9310.40","       11300571","          624.85"
"29-Apr-2016","-","-","-","     9295.30","        5068893","          287.52"
"02-May-2016","-","-","-","     9299.48","        4700365","          222.75"
"03-May-2016","-","-","-","     9198.36","        4488044","          265.90"
"04-May-2016","-","-","-","     9161.53","        3141452","          170.55"
"05-May-2016","-","-","-","     9213.86","        3284534","          192.86"
"06-May-2016","-","-","-","     9219.28","        2973840","          161.82"
"09-May-2016","-","-","-","     9323.48","        2653230","          194.23"
"10-May-2016","-","-","-","     9329.93","        8067175","          355.80"
"11-May-2016","-","-","-","     9276.86","        6776417","          358.97"
"12-May-2016","-","-","-","     9262.76","        2642347","          167.18"
"13-May-2016","-","-","-","     9190.00","        3885738","          196.25"
"16-May-2016","-","-","-","     9236.61","        3779380","          202.82"
"17-May-2016","-","-","-","     9312.44","        3842438","          226.73"
"18-May-2016","-","-","-","     9270.25","        3513453","          218.86"
"19-May-2016","-","-","-","     9177.89","        4318245","          220.14"
"20-May-2016","-","-","-","     9066.87","        2627676","          170.87"
"23-May-2016","-","-","-","     9033.05","        2510498","          129.85"
"24-May-2016","-","-","-","     9117.21","        4633055","          253.33"
"25-May-2016","-","-","-","     9484.02","       13204697","          721.22"
"26-May-2016","-","-","-","     9703.55","        8002755","          465.66"
"27-May-2016","-","-","-","     9662.00","        3693390","          227.08"
"30-May-2016","-","-","-","     9704.02","        6200587","          510.14"
"31-May-2016","-","-","-","     9680.73","        8420392","          464.75"
"01-Jun-2016","-","-","-","     9712.23","        3344098","          221.59"
"02-Jun-2016","-","-","-","     9720.01","        3948256","          245.05"
"03-Jun-2016","-","-","-","     9840.51","        5983732","          407.30"
"06-Jun-2016","-","-","-","     9828.94","        4423086","          306.48"
"07-Jun-2016","-","-","-","     9858.53","        4958266","          382.14"
"08-Jun-2016","-","-","-","     9921.14","        3388341","          247.29"
"09-Jun-2016","-","-","-","     9832.54","        3057957","          196.51"
"10-Jun-2016","-","-","-","     9835.46","        3201943","          266.77"
"13-Jun-2016","-","-","-","     9752.05","        2649642","          226.74"
"14-Jun-2016","-","-","-","     9730.30","        2091741","          145.89"
"15-Jun-2016","-","-","-","     9782.76","        2028108","          150.30"
"16-Jun-2016","-","-","-","     9649.94","-","-"
