"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"15-Jan-2014","-","-","-","     7315.20","-","-"
"16-Jan-2014","-","-","-","     7217.68","-","-"
"17-Jan-2014","-","-","-","     7120.92","-","-"
"20-Jan-2014","-","-","-","     7195.55","-","-"
"21-Jan-2014","-","-","-","     7170.99","-","-"
"22-Jan-2014","-","-","-","     7198.19","-","-"
"23-Jan-2014","-","-","-","     7035.04","-","-"
"24-Jan-2014","-","-","-","     6976.73","-","-"
"27-Jan-2014","-","-","-","     6828.52","-","-"
"28-Jan-2014","-","-","-","     6846.21","-","-"
"29-Jan-2014","-","-","-","     6831.00","-","-"
"30-Jan-2014","-","-","-","     6781.17","-","-"
"31-Jan-2014","-","-","-","     6961.54","-","-"
"03-Feb-2014","-","-","-","     6907.50","-","-"
"04-Feb-2014","-","-","-","     6798.81","-","-"
"05-Feb-2014","-","-","-","     7018.30","-","-"
"06-Feb-2014","-","-","-","     7120.23","-","-"
"07-Feb-2014","-","-","-","     7091.73","-","-"
"10-Feb-2014","-","-","-","     7096.79","-","-"
"11-Feb-2014","-","-","-","     7161.97","-","-"
"12-Feb-2014","-","-","-","     7158.78","-","-"
"13-Feb-2014","-","-","-","     7086.72","-","-"
"14-Feb-2014","-","-","-","     7085.94","-","-"
"17-Feb-2014","-","-","-","     7162.33","-","-"
"18-Feb-2014","-","-","-","     7211.51","-","-"
"19-Feb-2014","-","-","-","     7283.14","-","-"
"20-Feb-2014","-","-","-","     7227.33","-","-"
"21-Feb-2014","-","-","-","     7256.01","-","-"
"24-Feb-2014","-","-","-","     7274.34","-","-"
"25-Feb-2014","-","-","-","     7277.57","-","-"
"26-Feb-2014","-","-","-","     7340.76","-","-"
"28-Feb-2014","-","-","-","     7433.82","-","-"
"03-Mar-2014","-","-","-","     7385.54","-","-"
"04-Mar-2014","-","-","-","     7401.57","-","-"
"05-Mar-2014","-","-","-","     7394.52","-","-"
"06-Mar-2014","-","-","-","     7492.68","-","-"
"07-Mar-2014","-","-","-","     7472.34","-","-"
"10-Mar-2014","-","-","-","     7585.29","-","-"
"11-Mar-2014","-","-","-","     7499.03","-","-"
"12-Mar-2014","-","-","-","     7500.01","-","-"
"13-Mar-2014","-","-","-","     7562.13","-","-"
"14-Mar-2014","-","-","-","     7605.97","-","-"
"18-Mar-2014","-","-","-","     7565.52","-","-"
"19-Mar-2014","-","-","-","     7409.49","-","-"
"20-Mar-2014","-","-","-","     7419.75","-","-"
"21-Mar-2014","-","-","-","     7356.82","-","-"
"22-Mar-2014","-","-","-","     7384.22","-","-"
"24-Mar-2014","-","-","-","     7480.25","-","-"
"25-Mar-2014","-","-","-","     7396.29","-","-"
"26-Mar-2014","-","-","-","     7317.72","-","-"
"27-Mar-2014","-","-","-","     7356.20","-","-"
"28-Mar-2014","-","-","-","     7379.19","-","-"
"31-Mar-2014","-","-","-","     7375.95","-","-"
"01-Apr-2014","-","-","-","     7477.33","-","-"
"02-Apr-2014","-","-","-","     7507.86","-","-"
