"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"16-Jan-2012","-","-","-","     2395.64","-","-"
"17-Jan-2012","-","-","-","     2411.34","-","-"
"18-Jan-2012","-","-","-","     2355.24","-","-"
"19-Jan-2012","-","-","-","     2381.27","-","-"
"20-Jan-2012","-","-","-","     2394.49","-","-"
"23-Jan-2012","-","-","-","     2386.72","-","-"
"24-Jan-2012","-","-","-","     2414.74","-","-"
"25-Jan-2012","-","-","-","     2452.78","-","-"
"27-Jan-2012","-","-","-","     2494.36","-","-"
"30-Jan-2012","-","-","-","     2467.34","-","-"
"31-Jan-2012","-","-","-","     2523.42","-","-"
"01-Feb-2012","-","-","-","     2546.33","-","-"
"02-Feb-2012","-","-","-","     2573.83","-","-"
"03-Feb-2012","-","-","-","     2604.60","-","-"
"06-Feb-2012","-","-","-","     2633.69","-","-"
"07-Feb-2012","-","-","-","     2622.72","-","-"
"08-Feb-2012","-","-","-","     2656.93","-","-"
"09-Feb-2012","-","-","-","     2691.24","-","-"
"10-Feb-2012","-","-","-","     2706.16","-","-"
"13-Feb-2012","-","-","-","     2702.82","-","-"
"14-Feb-2012","-","-","-","     2711.23","-","-"
"15-Feb-2012","-","-","-","     2796.05","-","-"
"16-Feb-2012","-","-","-","     2751.80","-","-"
"17-Feb-2012","-","-","-","     2765.63","-","-"
"21-Feb-2012","-","-","-","     2782.49","-","-"
"22-Feb-2012","-","-","-","     2758.57","-","-"
"23-Feb-2012","-","-","-","     2769.61","-","-"
"24-Feb-2012","-","-","-","     2779.34","-","-"
"27-Feb-2012","-","-","-","     2708.45","-","-"
"28-Feb-2012","-","-","-","     2731.72","-","-"
"29-Feb-2012","-","-","-","     2740.32","-","-"
"01-Mar-2012","-","-","-","     2725.46","-","-"
"02-Mar-2012","-","-","-","     2723.46","-","-"
"03-Mar-2012","-","-","-","     2728.05","-","-"
"05-Mar-2012","-","-","-","     2703.42","-","-"
"06-Mar-2012","-","-","-","     2662.23","-","-"
"07-Mar-2012","-","-","-","     2654.57","-","-"
"09-Mar-2012","-","-","-","     2723.10","-","-"
"12-Mar-2012","-","-","-","     2712.94","-","-"
"13-Mar-2012","-","-","-","     2732.87","-","-"
"14-Mar-2012","-","-","-","     2693.99","-","-"
"15-Mar-2012","-","-","-","     2692.04","-","-"
"16-Mar-2012","-","-","-","     2679.95","-","-"
"19-Mar-2012","-","-","-","     2608.00","-","-"
"20-Mar-2012","-","-","-","     2612.77","-","-"
"21-Mar-2012","-","-","-","     2682.12","-","-"
"22-Mar-2012","-","-","-","     2629.00","-","-"
"23-Mar-2012","-","-","-","     2651.03","-","-"
"26-Mar-2012","-","-","-","     2598.91","-","-"
"27-Mar-2012","-","-","-","     2633.70","-","-"
"28-Mar-2012","-","-","-","     2614.11","-","-"
"29-Mar-2012","-","-","-","     2591.56","-","-"
"30-Mar-2012","-","-","-","     2653.74","-","-"
"02-Apr-2012","-","-","-","     2693.77","-","-"
"03-Apr-2012","-","-","-","     2695.52","-","-"
"04-Apr-2012","-","-","-","     2688.99","-","-"
"09-Apr-2012","-","-","-","     2648.80","-","-"
"10-Apr-2012","-","-","-","     2655.33","-","-"
"11-Apr-2012","-","-","-","     2624.78","-","-"
"12-Apr-2012","-","-","-","     2630.49","-","-"
"13-Apr-2012","-","-","-","     2556.62","-","-"
"16-Apr-2012","-","-","-","     2583.63","-","-"
"17-Apr-2012","-","-","-","     2616.64","-","-"
"18-Apr-2012","-","-","-","     2648.82","-","-"
"19-Apr-2012","-","-","-","     2676.35","-","-"
"20-Apr-2012","-","-","-","     2650.52","-","-"
"23-Apr-2012","-","-","-","     2593.12","-","-"
"24-Apr-2012","-","-","-","     2755.41","-","-"
"25-Apr-2012","-","-","-","     2721.90","-","-"
"26-Apr-2012","-","-","-","     2741.51","-","-"
"27-Apr-2012","-","-","-","     2753.66","-","-"
"28-Apr-2012","-","-","-","     2755.26","-","-"
"30-Apr-2012","-","-","-","     2817.14","-","-"
"02-May-2012","-","-","-","     2822.31","-","-"
"03-May-2012","-","-","-","     2815.63","-","-"
"04-May-2012","-","-","-","     2795.86","-","-"
"07-May-2012","-","-","-","     2818.74","-","-"
