"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"15-Jan-2016","-","-","-","     4065.38","       27912236","         1055.91"
"18-Jan-2016","-","-","-","     4068.51","       33488844","         1079.47"
"19-Jan-2016","-","-","-","     4109.22","       28798457","          871.33"
"20-Jan-2016","-","-","-","     4073.52","       30665702","         1070.23"
"21-Jan-2016","-","-","-","     4020.51","       40079153","         1348.57"
"22-Jan-2016","-","-","-","     4109.11","       29718629","          945.16"
"25-Jan-2016","-","-","-","     4117.08","       22372263","          784.61"
"27-Jan-2016","-","-","-","     4144.31","       26495931","          981.26"
"28-Jan-2016","-","-","-","     4143.71","       42969706","         1542.35"
"29-Jan-2016","-","-","-","     4231.83","       32841055","         1224.31"
"01-Feb-2016","-","-","-","     4251.27","       23763574","         1030.76"
"02-Feb-2016","-","-","-","     4206.65","       35534214","         1520.85"
"03-Feb-2016","-","-","-","     4191.73","       28617800","         1001.36"
"04-Feb-2016","-","-","-","     4210.40","       32699972","         1069.14"
"05-Feb-2016","-","-","-","     4249.12","       49201907","         1522.03"
"08-Feb-2016","-","-","-","     4160.07","       29680633","          935.79"
"09-Feb-2016","-","-","-","     4034.41","       33375741","         1180.08"
"10-Feb-2016","-","-","-","     3976.61","       45869223","         1472.29"
"11-Feb-2016","-","-","-","     3826.35","       52150617","         1497.52"
"12-Feb-2016","-","-","-","     3888.93","       55744856","         1614.22"
"15-Feb-2016","-","-","-","     4005.07","       55735300","         1605.29"
"16-Feb-2016","-","-","-","     3953.75","       41583742","         1234.99"
"17-Feb-2016","-","-","-","     3977.16","       39354674","         1202.60"
"18-Feb-2016","-","-","-","     4033.87","       36801072","         1155.08"
"19-Feb-2016","-","-","-","     4049.81","       27771158","          799.55"
"22-Feb-2016","-","-","-","     4050.64","       22854493","          747.05"
"23-Feb-2016","-","-","-","     3980.83","       32722728","         1016.09"
"24-Feb-2016","-","-","-","     3889.10","       23663054","          843.09"
"25-Feb-2016","-","-","-","     3866.03","       45164956","         1212.08"
"26-Feb-2016","-","-","-","     3872.69","       27774862","         1039.26"
"29-Feb-2016","-","-","-","     3821.55","       38270508","         1309.04"
"01-Mar-2016","-","-","-","     3991.79","       34184270","         1185.69"
"02-Mar-2016","-","-","-","     4053.50","       36666405","         1159.36"
"03-Mar-2016","-","-","-","     4176.37","       50133832","         1709.42"
"04-Mar-2016","-","-","-","     4170.80","       33872800","         1153.12"
"08-Mar-2016","-","-","-","     4170.49","       33871436","         1056.96"
"09-Mar-2016","-","-","-","     4182.34","       35845686","         1243.37"
"10-Mar-2016","-","-","-","     4173.92","       31245737","         1162.19"
"11-Mar-2016","-","-","-","     4208.18","       29538245","         1038.08"
"14-Mar-2016","-","-","-","     4220.09","       30810579","         1113.73"
