"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"16-Jan-2012","-","-","-","     3995.54","-","-"
"17-Jan-2012","-","-","-","     4051.14","-","-"
"18-Jan-2012","-","-","-","     4010.41","-","-"
"19-Jan-2012","-","-","-","     4094.85","-","-"
"20-Jan-2012","-","-","-","     4243.40","-","-"
"23-Jan-2012","-","-","-","     4232.66","-","-"
"24-Jan-2012","-","-","-","     4347.36","-","-"
"25-Jan-2012","-","-","-","     4394.90","-","-"
"27-Jan-2012","-","-","-","     4381.31","-","-"
"30-Jan-2012","-","-","-","     4244.14","-","-"
"31-Jan-2012","-","-","-","     4426.18","-","-"
"01-Feb-2012","-","-","-","     4454.48","-","-"
"02-Feb-2012","-","-","-","     4469.93","-","-"
"03-Feb-2012","-","-","-","     4536.53","-","-"
"06-Feb-2012","-","-","-","     4578.22","-","-"
"07-Feb-2012","-","-","-","     4613.08","-","-"
"08-Feb-2012","-","-","-","     4595.79","-","-"
"09-Feb-2012","-","-","-","     4689.83","-","-"
"10-Feb-2012","-","-","-","     4664.04","-","-"
"13-Feb-2012","-","-","-","     4700.67","-","-"
"14-Feb-2012","-","-","-","     4709.65","-","-"
"15-Feb-2012","-","-","-","     4894.54","-","-"
"16-Feb-2012","-","-","-","     4862.48","-","-"
"17-Feb-2012","-","-","-","     4915.40","-","-"
"21-Feb-2012","-","-","-","     4951.77","-","-"
"22-Feb-2012","-","-","-","     4802.22","-","-"
"23-Feb-2012","-","-","-","     4810.84","-","-"
"24-Feb-2012","-","-","-","     4703.66","-","-"
"27-Feb-2012","-","-","-","     4533.61","-","-"
"28-Feb-2012","-","-","-","     4684.34","-","-"
"29-Feb-2012","-","-","-","     4656.84","-","-"
"01-Mar-2012","-","-","-","     4599.02","-","-"
"02-Mar-2012","-","-","-","     4674.87","-","-"
"03-Mar-2012","-","-","-","     4681.69","-","-"
"05-Mar-2012","-","-","-","     4575.53","-","-"
"06-Mar-2012","-","-","-","     4535.41","-","-"
"07-Mar-2012","-","-","-","     4573.59","-","-"
"09-Mar-2012","-","-","-","     4735.33","-","-"
"12-Mar-2012","-","-","-","     4762.14","-","-"
"13-Mar-2012","-","-","-","     4800.99","-","-"
"14-Mar-2012","-","-","-","     4886.33","-","-"
"15-Mar-2012","-","-","-","     4757.42","-","-"
"16-Mar-2012","-","-","-","     4684.79","-","-"
"19-Mar-2012","-","-","-","     4616.84","-","-"
"20-Mar-2012","-","-","-","     4652.02","-","-"
"21-Mar-2012","-","-","-","     4764.05","-","-"
"22-Mar-2012","-","-","-","     4603.83","-","-"
"23-Mar-2012","-","-","-","     4660.44","-","-"
"26-Mar-2012","-","-","-","     4558.41","-","-"
"27-Mar-2012","-","-","-","     4600.43","-","-"
"28-Mar-2012","-","-","-","     4507.50","-","-"
"29-Mar-2012","-","-","-","     4522.00","-","-"
"30-Mar-2012","-","-","-","     4652.34","-","-"
"02-Apr-2012","-","-","-","     4701.48","-","-"
"03-Apr-2012","-","-","-","     4757.29","-","-"
