"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"15-Jan-2016","-","-","-","     8468.07","       52817185","         1616.34"
"18-Jan-2016","-","-","-","     8370.94","       60712526","         1909.60"
"19-Jan-2016","-","-","-","     8525.27","       44542491","         1611.31"
"20-Jan-2016","-","-","-","     8369.69","       45239547","         1677.37"
"21-Jan-2016","-","-","-","     8468.37","       57197922","         2108.03"
"22-Jan-2016","-","-","-","     8682.76","       41955284","         1495.44"
"25-Jan-2016","-","-","-","     8720.07","       34736839","         1324.30"
"27-Jan-2016","-","-","-","     8693.72","       30248797","         1039.68"
"28-Jan-2016","-","-","-","     8587.04","       48001390","         1669.92"
"29-Jan-2016","-","-","-","     8715.39","       86857856","         3199.21"
"01-Feb-2016","-","-","-","     8621.81","       64209298","         2354.68"
"02-Feb-2016","-","-","-","     8475.10","       57331939","         1936.50"
"03-Feb-2016","-","-","-","     8342.07","       44303264","         1586.81"
"04-Feb-2016","-","-","-","     8372.65","       52220567","         1748.35"
"05-Feb-2016","-","-","-","     8533.23","       57652111","         1902.87"
"08-Feb-2016","-","-","-","     8446.45","       39837443","         1432.46"
"09-Feb-2016","-","-","-","     8379.70","       38276867","         1363.09"
"10-Feb-2016","-","-","-","     8250.41","       46946087","         1673.83"
"11-Feb-2016","-","-","-","     7923.34","       57941308","         1915.88"
"12-Feb-2016","-","-","-","     7906.76","       85360119","         2891.36"
"15-Feb-2016","-","-","-","     8127.01","       58463138","         2038.33"
"16-Feb-2016","-","-","-","     8013.42","       44094811","         1576.98"
"17-Feb-2016","-","-","-","     7955.73","       49665588","         1649.78"
"18-Feb-2016","-","-","-","     8053.51","       54324795","         1648.09"
"19-Feb-2016","-","-","-","     8047.46","       40182723","         1242.32"
"22-Feb-2016","-","-","-","     8083.19","       33258710","         1053.07"
"23-Feb-2016","-","-","-","     7882.96","       41528722","         1420.54"
"24-Feb-2016","-","-","-","     7768.77","       44549626","         1431.12"
"25-Feb-2016","-","-","-","     7632.43","       66864487","         1786.73"
"26-Feb-2016","-","-","-","     7753.76","       44993096","         1369.83"
"29-Feb-2016","-","-","-","     7840.68","      139766400","         4842.51"
"01-Mar-2016","-","-","-","     8137.78","       52176889","         1681.84"
"02-Mar-2016","-","-","-","     8475.20","       68323413","         2323.89"
"03-Mar-2016","-","-","-","     8517.84","       47902826","         1753.38"
"04-Mar-2016","-","-","-","     8585.44","       47211342","         1523.32"
"08-Mar-2016","-","-","-","     8494.71","       34710917","         1272.42"
"09-Mar-2016","-","-","-","     8575.64","       40453112","         1570.92"
"10-Mar-2016","-","-","-","     8530.13","       30035125","         1221.88"
"11-Mar-2016","-","-","-","     8508.54","       36220446","         1531.48"
"14-Mar-2016","     8595.10","     8661.80","     8549.25","     8581.40","       33519653","         1213.40"
"15-Mar-2016","     8602.55","     8633.55","     8574.25","     8596.30","       35839946","         1387.14"
"16-Mar-2016","     8578.85","     8707.90","     8517.20","     8690.55","       37523048","         1409.96"
"17-Mar-2016","     8779.25","     8833.50","     8618.10","     8694.55","       63610851","         2208.00"
"18-Mar-2016","     8712.65","     8816.70","     8702.60","     8803.75","       35958002","         1315.23"
"21-Mar-2016","     8840.85","     8949.90","     8838.70","     8939.05","       32834376","         1340.44"
"22-Mar-2016","     8940.85","     8948.90","     8850.85","     8932.90","       29384725","         1185.71"
"23-Mar-2016","     8901.90","     8935.85","     8868.00","     8915.00","       36080165","         1535.87"
"28-Mar-2016","     8908.65","     8911.75","     8722.20","     8766.90","       48432055","         2085.73"
"29-Mar-2016","     8752.65","     8859.25","     8752.65","     8799.15","       38010450","         1324.40"
"30-Mar-2016","     8893.65","     9087.35","     8860.80","     9068.40","       48279282","         1764.57"
"31-Mar-2016","     9063.55","     9153.85","     9037.60","     9086.75","       95052888","         3045.23"
"01-Apr-2016","     9063.95","     9133.35","     9019.95","     9100.40","       37056085","         1345.43"
"04-Apr-2016","     9134.35","     9156.45","     9030.00","     9121.60","       39988352","         1395.69"
"05-Apr-2016","     9081.15","     9089.15","     8830.45","     8850.35","       57558915","         2032.03"
"06-Apr-2016","     8882.40","     8889.35","     8771.50","     8807.80","       37999438","         1353.69"
"07-Apr-2016","     8825.90","     8853.25","     8714.55","     8749.25","       32509293","         1069.16"
"08-Apr-2016","     8744.45","     8808.15","     8723.70","     8764.35","       25781802","          964.10"
"11-Apr-2016","     8799.65","     8906.45","     8697.15","     8889.75","       33328263","         1177.52"
